city,province_cn,city_cn,case,death,cure,lat,lon,province
Ziyang,四川,资阳,3,0,0,30.1,104.67,Sichuan
Guangyuan,四川,广元,6,0,0,30.46,106.64,Sichuan
Aba,四川,阿坝,1,0,0,32.9,101.71,Sichuan
Bazhong,四川,巴中,21,0,1,31.86,106.75,Sichuan
Panzhihua,四川,攀枝花,13,0,3,26.578,101.721,Sichuan
Lhasa,西藏,拉萨,1,0,0,29.65,91.577,Tibet
France,法国,_,11,0,0,46.83,2.48,_
Germany,德国,_,14,0,0,51.3,10.2,_
Sri Lanka,斯里兰卡,_,1,0,0,7.6,80.4,_
Vietnam,越南,_,10,0,1,15.56,108.05,_
Combodia,柬埔寨,_,1,0,0,12.57,104.9,_
Thailand,泰国,_,25,0,5,15.76,101.14,_
Malaysia,马来西亚,_,16,0,1,4.4,102.13,_
Singapore,新加坡,_,33,0,2,1.18,103.85,_
South Korea,韩国,_,24,0,1,36.86,127.8,_
Japan,日本,_,89,0,1,36.22,139,_
New South Wales,澳大利亚,新南威尔士州,4,0,2,-32.1,147.4,Australia
Victoria,澳大利亚,维多利亚州,4,0,0,-37,144.5,Australia
Queensland,澳大利亚,昆士兰州,5,0,0,-23.200961,146.260643,Australia
South Australia,澳大利亚,南澳大利亚州,2,0,0,-29.864316,134.736328,Australia
